track,impl,mode,workload,class,n,successes,oracle_passes,p50_ms,p95_ms,p99_ms,avg_ms,avg_cpu_user_ms,avg_cpu_system_ms,avg_max_rss_kb,avg_throughput_mb_s
verify-only,json-canon,verify,array-2048,valid,2,2,2,21.518380,28.731615,29.372792,21.518380,16.305500,10.193500,7280.000000,5.089200
verify-only,schubfach,verify,array-2048,valid,2,2,2,26.632680,26.689315,26.694349,26.632680,24.541000,12.719000,6720.000000,3.541509
verify-only,json-canon,verify,array-256,valid,2,2,2,9.722577,9.864564,9.877185,9.722577,4.034000,6.538000,4240.000000,1.168936
verify-only,schubfach,verify,array-256,valid,2,2,2,5.448906,8.818419,9.117931,5.448906,0.533500,5.175500,4320.000000,3.949970
verify-only,json-canon,verify,canonical-minimal,valid,2,2,2,3.594784,4.981423,5.104680,3.594784,0.000000,3.908500,4160.000000,0.002275
verify-only,schubfach,verify,canonical-minimal,valid,2,2,2,3.831370,5.603162,5.760655,3.831370,1.029000,3.027500,3840.000000,0.002367
verify-only,json-canon,verify,control-escapes,valid,2,2,2,5.084141,7.751313,7.988395,5.084141,1.616500,3.738500,4240.000000,0.016762
verify-only,schubfach,verify,control-escapes,valid,2,2,2,4.227639,5.790401,5.929313,4.227639,1.323000,3.096500,3760.000000,0.016010
verify-only,json-canon,verify,deep-64,valid,2,2,2,5.421748,6.415806,6.504167,5.421748,0.926000,4.903000,4080.000000,0.093592
verify-only,schubfach,verify,deep-64,valid,2,2,2,1.635282,2.152462,2.198433,1.635282,1.160000,0.584000,3920.000000,0.339327
verify-only,json-canon,verify,escaped-key-order,valid,2,2,2,7.201499,8.106804,8.187275,7.201499,2.298500,5.407000,4320.000000,0.001756
verify-only,schubfach,verify,escaped-key-order,valid,2,2,2,2.293429,2.807333,2.853014,2.293429,0.000000,2.340000,3920.000000,0.005763
verify-only,json-canon,verify,long-string,valid,2,2,2,3.194660,4.194257,4.283110,3.194660,0.984000,2.338500,4080.000000,5.569872
verify-only,schubfach,verify,long-string,valid,2,2,2,3.773589,5.876996,6.063966,3.773589,0.373500,3.729000,4320.000000,6.724963
verify-only,json-canon,verify,nested-mixed,valid,2,2,2,1.469835,1.806388,1.836304,1.469835,0.000000,1.557000,4320.000000,0.033993
verify-only,schubfach,verify,nested-mixed,valid,2,2,2,6.693522,6.749378,6.754343,6.693522,0.446000,6.661500,4240.000000,0.006982
verify-only,json-canon,verify,numeric-boundary,valid,2,2,2,4.630292,6.106565,6.237789,4.630292,0.837000,4.064000,3920.000000,0.023081
verify-only,schubfach,verify,numeric-boundary,valid,2,2,2,4.834532,5.966220,6.066814,4.834532,0.000000,5.143500,4080.000000,0.020734
verify-only,json-canon,verify,rfc-key-sorting,valid,2,2,2,8.673718,10.826970,11.018370,8.673718,1.016500,6.439000,4320.000000,0.021421
verify-only,schubfach,verify,rfc-key-sorting,valid,2,2,2,3.237918,5.170209,5.341968,3.237918,0.270000,3.189500,4160.000000,0.094616
verify-only,json-canon,verify,small,valid,2,2,2,3.364733,3.592612,3.612868,3.364733,0.801500,2.743000,3600.000000,0.011972
verify-only,schubfach,verify,small,valid,2,2,2,3.149822,4.484191,4.602801,3.149822,0.493500,2.854500,4000.000000,0.016336
verify-only,json-canon,verify,surrogate-pair,valid,2,2,2,7.370570,8.631187,8.743242,7.370570,2.504500,5.357500,4320.000000,0.002819
verify-only,schubfach,verify,surrogate-pair,valid,2,2,2,3.664530,6.038679,6.249714,3.664531,0.983000,2.806000,4240.000000,0.011343
verify-only,json-canon,verify,unicode,valid,2,2,2,6.954396,7.172639,7.192038,6.954396,1.549500,5.897000,4240.000000,0.013181
verify-only,schubfach,verify,unicode,valid,2,2,2,2.152731,2.300281,2.313397,2.152731,1.322500,0.926500,3920.000000,0.042777
verify-only,json-canon,verify,verify-whitespace,valid,2,2,2,3.438673,4.697190,4.809058,3.438673,0.506000,3.074000,4080.000000,0.005649
verify-only,schubfach,verify,verify-whitespace,valid,2,2,2,7.382563,8.009484,8.065210,7.382563,1.956500,5.847500,4240.000000,0.002216
