track,impl,mode,workload,class,n,successes,oracle_passes,p50_ms,p95_ms,p99_ms,avg_ms,avg_cpu_user_ms,avg_cpu_system_ms,avg_max_rss_kb,avg_throughput_mb_s
e2e,json-canon,canonicalize,array-2048,valid,15,15,15,7.070499,8.338357,9.178653,7.159328,6.006467,2.923600,11971.466667,13.287644
e2e,json-canon-rs,canonicalize,array-2048,valid,15,15,15,4.301370,5.758352,6.128734,4.617649,3.466000,0.993200,12050.400000,20.779344
e2e,schubfach,canonicalize,array-2048,valid,15,15,15,5.279499,6.225570,6.411030,5.361252,2.915133,3.266200,12002.666667,17.715814
e2e,schubfach-rs,canonicalize,array-2048,valid,15,15,15,2.428040,3.204466,3.318564,2.466475,1.721533,0.642067,11785.866667,39.562371
e2e,json-canon,verify,array-2048,valid,15,15,15,7.438071,8.250460,8.447694,7.458498,6.471733,2.864733,12094.133333,12.705600
e2e,json-canon-rs,verify,array-2048,valid,15,15,15,4.235734,5.775052,5.999917,4.505928,3.440133,0.988467,12085.333333,21.278917
e2e,schubfach,verify,array-2048,valid,15,15,15,5.825876,6.498064,6.627483,5.822841,3.893600,3.598667,12066.666667,16.308739
e2e,schubfach-rs,verify,array-2048,valid,15,15,15,2.334694,2.899091,2.917202,2.393796,1.609267,0.722400,11990.933333,40.248154
e2e,json-canon,canonicalize,array-256,valid,15,15,15,2.337533,2.856609,2.866808,2.313919,0.828933,1.557267,12183.733333,5.030032
e2e,json-canon-rs,canonicalize,array-256,valid,15,15,15,1.291362,1.369586,1.388408,1.178593,0.778933,0.333667,12272.800000,9.909172
e2e,schubfach,canonicalize,array-256,valid,15,15,15,2.259603,2.714069,3.017422,2.188987,0.739733,1.433000,11984.266667,5.356832
e2e,schubfach-rs,canonicalize,array-256,valid,15,15,15,0.878694,0.944135,0.950720,0.821309,0.416133,0.347333,12113.333333,14.208361
e2e,json-canon,verify,array-256,valid,15,15,15,2.453288,3.206072,3.361134,2.465588,1.125000,1.366200,12206.666667,4.802164
e2e,json-canon-rs,verify,array-256,valid,15,15,15,1.196525,1.379460,1.414606,1.138516,0.522600,0.561600,12025.600000,10.271741
e2e,schubfach,verify,array-256,valid,15,15,15,1.656233,2.442030,2.486542,1.827495,0.550867,1.351800,12054.133333,6.367129
e2e,schubfach-rs,verify,array-256,valid,15,15,15,0.842303,0.945234,0.946464,0.780249,0.315533,0.406400,11876.000000,15.154935
e2e,json-canon,canonicalize,bad-literal,invalid,15,0,15,1.825013,1.910715,1.940562,1.631371,0.233733,1.469400,11951.466667,0.000000
e2e,json-canon-rs,canonicalize,bad-literal,invalid,15,0,15,0.630145,0.664087,0.670493,0.600056,0.399467,0.140400,12041.333333,0.000000
e2e,schubfach,canonicalize,bad-literal,invalid,15,0,15,1.443607,1.828005,1.893104,1.471495,0.195200,1.319867,12133.866667,0.000000
e2e,schubfach-rs,canonicalize,bad-literal,invalid,15,0,15,0.566737,0.613209,0.622822,0.543598,0.304533,0.179467,12029.866667,0.000000
