track,impl,mode,workload,class,n,successes,oracle_passes,p50_ms,p95_ms,p99_ms,avg_ms,avg_cpu_user_ms,avg_cpu_system_ms,avg_max_rss_kb,avg_throughput_mb_s
e2e,json-canon,canonicalize,array-2048,valid,15,15,15,6.921729,8.155625,8.228053,7.210124,5.237800,3.849400,13881.600000,13.179560
e2e,json-canon-rs,canonicalize,array-2048,valid,15,15,15,4.279459,5.511815,6.027933,4.486835,3.669867,0.700467,13690.400000,21.371294
e2e,schubfach,canonicalize,array-2048,valid,15,15,15,5.438107,5.859187,5.972800,5.388456,3.069800,3.106000,13779.733333,17.576094
e2e,schubfach-rs,canonicalize,array-2048,valid,15,15,15,2.297691,3.066204,3.096347,2.423964,1.526533,0.805000,13849.866667,39.819578
e2e,json-canon,verify,array-2048,valid,15,15,15,7.233645,8.402117,8.535594,7.444749,6.858133,2.660867,13723.466667,12.777617
e2e,json-canon-rs,verify,array-2048,valid,15,15,15,3.981443,5.000962,5.068714,4.245475,3.149733,1.034533,14095.733333,22.432608
e2e,schubfach,verify,array-2048,valid,15,15,15,5.427868,7.177368,7.973137,5.677704,4.169867,3.215867,13836.000000,16.910184
e2e,schubfach-rs,verify,array-2048,valid,15,15,15,2.621492,3.106165,3.142370,2.594479,1.858267,0.669667,13681.333333,37.217072
e2e,json-canon,canonicalize,array-256,valid,15,15,15,2.308272,2.892736,2.936847,2.342239,0.696133,1.722800,13888.000000,5.005133
e2e,json-canon-rs,canonicalize,array-256,valid,15,15,15,1.271886,1.326755,1.341610,1.214280,0.701867,0.446667,13853.866667,9.509308
e2e,schubfach,canonicalize,array-256,valid,15,15,15,1.853467,2.482475,2.503694,1.980086,0.468800,1.546600,14067.200000,5.863978
e2e,schubfach-rs,canonicalize,array-256,valid,15,15,15,0.866282,0.922725,0.929705,0.848172,0.328133,0.459267,13911.200000,13.507499
e2e,json-canon,verify,array-256,valid,15,15,15,2.101097,2.874098,2.985084,2.223289,0.709267,1.584867,13920.533333,5.283889
e2e,json-canon-rs,verify,array-256,valid,15,15,15,1.210029,1.385683,1.391201,1.159351,0.526400,0.569867,13846.933333,10.059548
e2e,schubfach,verify,array-256,valid,15,15,15,1.933407,2.409297,2.439025,1.957624,0.554200,1.470000,13762.133333,5.933371
e2e,schubfach-rs,verify,array-256,valid,15,15,15,0.843242,0.888676,0.896255,0.814988,0.302800,0.454267,14050.933333,14.046722
e2e,json-canon,canonicalize,bad-literal,invalid,15,0,15,1.599175,1.919062,1.928499,1.554460,0.194200,1.414667,13775.733333,0.000000
e2e,json-canon-rs,canonicalize,bad-literal,invalid,15,0,15,0.643605,0.709757,0.718470,0.641914,0.313667,0.267533,13936.266667,0.000000
e2e,schubfach,canonicalize,bad-literal,invalid,15,0,15,1.585091,1.802760,1.874268,1.481920,0.114267,1.410867,13639.200000,0.000000
e2e,schubfach-rs,canonicalize,bad-literal,invalid,15,0,15,0.569531,0.637998,0.677492,0.570027,0.307800,0.204200,13907.733333,0.000000
e2e,json-canon,verify,bad-literal,invalid,15,0,15,1.800690,2.011129,2.028589,1.635686,0.130133,1.567867,13776.800000,0.000000
e2e,json-canon-rs,verify,bad-literal,invalid,15,0,15,0.627531,0.689758,0.705028,0.633602,0.425667,0.152667,14009.333333,0.000000
e2e,schubfach,verify,bad-literal,invalid,15,0,15,1.684654,1.861356,1.906909,1.581491,0.246533,1.387000,13727.200000,0.000000
e2e,schubfach-rs,verify,bad-literal,invalid,15,0,15,0.563552,0.621353,0.638178,0.548915,0.270067,0.215667,13919.733333,0.000000
e2e,json-canon,canonicalize,bad-number-leading-zero,invalid,15,0,15,1.719267,1.924239,1.960334,1.622895,0.392933,1.285800,13841.866667,0.000000
e2e,json-canon-rs,canonicalize,bad-number-leading-zero,invalid,15,0,15,0.648996,0.699320,0.720316,0.614925,0.318533,0.221400,13977.600000,0.000000
e2e,schubfach,canonicalize,bad-number-leading-zero,invalid,15,0,15,1.408219,1.761112,1.768635,1.429075,0.253867,1.224533,13724.000000,0.000000
e2e,schubfach-rs,canonicalize,bad-number-leading-zero,invalid,15,0,15,0.575909,0.617163,0.618418,0.568662,0.275000,0.219067,13779.200000,0.000000
e2e,json-canon,verify,bad-number-leading-zero,invalid,15,0,15,1.730787,1.941387,1.947443,1.644014,0.271467,1.438000,13946.933333,0.000000
e2e,json-canon-rs,verify,bad-number-leading-zero,invalid,15,0,15,0.624437,0.676957,0.701893,0.625521,0.268733,0.299933,13780.000000,0.000000
e2e,schubfach,verify,bad-number-leading-zero,invalid,15,0,15,1.589059,2.063681,2.077381,1.500465,0.062133,1.491867,13977.600000,0.000000
e2e,schubfach-rs,verify,bad-number-leading-zero,invalid,15,0,15,0.587779,0.664036,0.676790,0.575373,0.228333,0.282733,13788.000000,0.000000
e2e,json-canon,canonicalize,bad-unicode-escape,invalid,15,0,15,1.365574,2.015531,2.020928,1.512090,0.605800,0.958467,13789.600000,0.000000
e2e,json-canon-rs,canonicalize,bad-unicode-escape,invalid,15,0,15,0.606642,0.683283,0.717025,0.617198,0.306000,0.258333,13993.066667,0.000000
e2e,schubfach,canonicalize,bad-unicode-escape,invalid,15,0,15,1.515757,2.753013,3.987000,1.671541,0.223067,1.408000,14188.533333,0.000000
e2e,schubfach-rs,canonicalize,bad-unicode-escape,invalid,15,0,15,0.567850,0.651911,0.654068,0.573122,0.313333,0.205933,13865.866667,0.000000
e2e,json-canon,verify,bad-unicode-escape,invalid,15,0,15,1.589896,2.012470,2.152179,1.602453,0.425933,1.221133,13945.333333,0.000000
e2e,json-canon-rs,verify,bad-unicode-escape,invalid,15,0,15,0.623811,0.659315,0.659583,0.595656,0.348333,0.189133,13595.200000,0.000000
e2e,schubfach,verify,bad-unicode-escape,invalid,15,0,15,1.438162,1.756756,1.769730,1.461444,0.058733,1.448667,14077.600000,0.000000
