track,impl,mode,workload,class,n,successes,oracle_passes,p50_ms,p95_ms,p99_ms,avg_ms,avg_cpu_user_ms,avg_cpu_system_ms,avg_max_rss_kb,avg_throughput_mb_s
e2e,json-canon,canonicalize,array-2048,valid,1,1,1,32.069111,32.069111,32.069111,32.069111,27.113000,13.556000,7360.000000,2.941127
e2e,schubfach,canonicalize,array-2048,valid,1,1,1,11.445641,11.445641,11.445641,11.445641,6.984000,5.820000,6400.000000,8.240634
e2e,json-canon,verify,array-2048,valid,1,1,1,36.379193,36.379193,36.379193,36.379193,38.949000,8.549000,7200.000000,2.592673
e2e,schubfach,verify,array-2048,valid,1,1,1,8.502512,8.502512,8.502512,8.502512,6.691000,4.460000,6400.000000,11.093115
e2e,json-canon,canonicalize,array-256,valid,1,1,1,12.012097,12.012097,12.012097,12.012097,3.450000,9.201000,5440.000000,0.945886
e2e,schubfach,canonicalize,array-256,valid,1,1,1,1.792122,1.792122,1.792122,1.792122,0.000000,1.848000,4000.000000,6.340012
e2e,json-canon,verify,array-256,valid,1,1,1,1.795648,1.795648,1.795648,1.795648,0.932000,0.932000,6400.000000,6.327563
e2e,schubfach,verify,array-256,valid,1,1,1,4.099461,4.099461,4.099461,4.099461,0.864000,3.456000,6400.000000,2.771602
e2e,json-canon,canonicalize,bad-literal,invalid,1,0,1,1.708341,1.708341,1.708341,1.708341,0.830000,0.830000,3680.000000,0.000000
e2e,schubfach,canonicalize,bad-literal,invalid,1,0,1,1.193443,1.193443,1.193443,1.193443,0.000000,1.222000,4000.000000,0.000000
e2e,json-canon,verify,bad-literal,invalid,1,0,1,1.904614,1.904614,1.904614,1.904614,0.676000,1.352000,4000.000000,0.000000
e2e,schubfach,verify,bad-literal,invalid,1,0,1,5.947451,5.947451,5.947451,5.947451,1.282000,5.131000,5760.000000,0.000000
e2e,json-canon,canonicalize,bad-number-leading-zero,invalid,1,0,1,5.974213,5.974213,5.974213,5.974213,1.051000,5.256000,4320.000000,0.000000
e2e,schubfach,canonicalize,bad-number-leading-zero,invalid,1,0,1,5.813397,5.813397,5.813397,5.813397,0.626000,5.640000,5600.000000,0.000000
e2e,json-canon,verify,bad-number-leading-zero,invalid,1,0,1,6.253619,6.253619,6.253619,6.253619,0.000000,6.718000,6720.000000,0.000000
e2e,schubfach,verify,bad-number-leading-zero,invalid,1,0,1,5.358831,5.358831,5.358831,5.358831,1.432000,4.297000,5760.000000,0.000000
e2e,json-canon,canonicalize,bad-unicode-escape,invalid,1,0,1,6.490778,6.490778,6.490778,6.490778,1.946000,4.865000,5440.000000,0.000000
e2e,schubfach,canonicalize,bad-unicode-escape,invalid,1,0,1,1.088244,1.088244,1.088244,1.088244,0.000000,1.093000,4160.000000,0.000000
e2e,json-canon,verify,bad-unicode-escape,invalid,1,0,1,1.065021,1.065021,1.065021,1.065021,0.000000,1.080000,4000.000000,0.000000
e2e,schubfach,verify,bad-unicode-escape,invalid,1,0,1,5.797084,5.797084,5.797084,5.797084,1.013000,5.066000,6560.000000,0.000000
e2e,json-canon,canonicalize,canonical-minimal,valid,1,1,1,7.040434,7.040434,7.040434,7.040434,1.046000,6.279000,5440.000000,0.000948
e2e,schubfach,canonicalize,canonical-minimal,valid,1,1,1,2.862130,2.862130,2.862130,2.862130,0.000000,3.013000,5440.000000,0.002332
e2e,json-canon,verify,canonical-minimal,valid,1,1,1,7.685398,7.685398,7.685398,7.685398,0.000000,8.117000,4320.000000,0.000869
e2e,schubfach,verify,canonical-minimal,valid,1,1,1,5.994720,5.994720,5.994720,5.994720,0.911000,5.469000,6720.000000,0.001114
e2e,json-canon,canonicalize,control-escapes,valid,1,1,1,6.209920,6.209920,6.209920,6.209920,2.510000,4.184000,5440.000000,0.009061
e2e,schubfach,canonicalize,control-escapes,valid,1,1,1,5.814773,5.814773,5.814773,5.814773,0.000000,6.133000,4800.000000,0.009677
e2e,json-canon,verify,control-escapes,valid,1,1,1,6.468594,6.468594,6.468594,6.468594,0.784000,6.274000,6720.000000,0.008698
e2e,schubfach,verify,control-escapes,valid,1,1,1,4.603718,4.603718,4.603718,4.603718,0.000000,5.034000,5600.000000,0.012222
e2e,json-canon,canonicalize,deep-64,valid,1,1,1,1.535032,1.535032,1.535032,1.535032,0.000000,1.642000,5440.000000,0.316849
e2e,schubfach,canonicalize,deep-64,valid,1,1,1,6.080962,6.080962,6.080962,6.080962,2.183000,4.366000,6720.000000,0.079983
e2e,json-canon,verify,deep-64,valid,1,1,1,5.977128,5.977128,5.977128,5.977128,0.805000,5.640000,5760.000000,0.081373
e2e,schubfach,verify,deep-64,valid,1,1,1,6.329530,6.329530,6.329530,6.329530,1.945000,4.864000,5440.000000,0.076842
e2e,json-canon,canonicalize,duplicate-decoded-key,invalid,1,0,1,5.931601,5.931601,5.931601,5.931601,0.000000,6.430000,5760.000000,0.000000
e2e,schubfach,canonicalize,duplicate-decoded-key,invalid,1,0,1,5.128962,5.128962,5.128962,5.128962,0.000000,5.459000,4320.000000,0.000000
e2e,json-canon,verify,duplicate-decoded-key,invalid,1,0,1,1.281594,1.281594,1.281594,1.281594,0.000000,1.319000,4000.000000,0.000000
e2e,schubfach,verify,duplicate-decoded-key,invalid,1,0,1,5.884798,5.884798,5.884798,5.884798,1.810000,4.527000,5440.000000,0.000000
e2e,json-canon,canonicalize,duplicate-key,invalid,1,0,1,6.028053,6.028053,6.028053,6.028053,1.044000,5.220000,6560.000000,0.000000
e2e,schubfach,canonicalize,duplicate-key,invalid,1,0,1,5.783783,5.783783,5.783783,5.783783,1.998000,3.997000,4480.000000,0.000000
e2e,json-canon,verify,duplicate-key,invalid,1,0,1,2.542781,2.542781,2.542781,2.542781,0.000000,2.668000,6400.000000,0.000000
e2e,schubfach,verify,duplicate-key,invalid,1,0,1,1.679114,1.679114,1.679114,1.679114,0.000000,1.602000,6080.000000,0.000000
