timestamp,session_id,track,impl,mode,workload,case_id,class,run,ok,expected_ok,passes_oracle,exit_code,duration_ns,cpu_user_ns,cpu_system_ns,max_rss_kb,input_bytes,output_bytes,output_sha256,expected_sha256,stderr_excerpt,error_class,expected_error_class
2026-03-05T20:56:57.163742953Z,1,verify-only,schubfach-rs,verify,unicode,WL-verify-unicode,valid,0,true,true,true,0,2578575,752000,1875000,4160,96,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,none,
2026-03-05T20:56:57.1659798Z,0,verify-only,schubfach,verify,array-256,WL-verify-array-256,valid,0,true,true,true,0,2221893,0,2272000,4320,11914,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ok\n,unknown,
2026-03-05T20:56:57.167626358Z,1,verify-only,schubfach-rs,verify,escaped-key-order,WL-verify-escaped-key-order,valid,0,true,true,true,0,1634010,584000,1098000,4480,13,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,none,
2026-03-05T20:56:57.169832333Z,1,verify-only,schubfach-rs,verify,array-256,WL-verify-array-256,valid,0,true,true,true,0,2197922,1452000,839000,4480,11914,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,none,
2026-03-05T20:56:57.171459489Z,1,verify-only,schubfach-rs,verify,rfc-key-sorting,WL-verify-rfc-key-sorting,valid,0,true,true,true,0,1619358,565000,1078000,4480,180,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,none,
2026-03-05T20:56:57.174509498Z,0,verify-only,schubfach-rs,verify,array-256,WL-verify-array-256,valid,0,true,true,true,0,3041744,1257000,1878000,4480,11914,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,none,
2026-03-05T20:56:57.176412626Z,1,verify-only,json-canon,verify,control-escapes,WL-verify-control-escapes,valid,0,true,true,true,0,1889747,1927000,0,4480,59,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ok\n,unknown,
2026-03-05T20:56:57.17873792Z,1,verify-only,schubfach-rs,verify,long-string,WL-verify-long-string,valid,0,true,true,true,0,2311878,1493000,901000,4640,16403,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,none,
2026-03-05T20:56:57.181010566Z,0,verify-only,schubfach-rs,verify,verify-whitespace,WL-verify-verify-whitespace,valid,0,true,true,true,0,2267617,649000,1730000,4640,17,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,none,
2026-03-05T20:56:57.182779825Z,0,verify-only,json-canon,verify,surrogate-pair,WL-verify-surrogate-pair,valid,0,true,true,true,0,1763447,0,1843000,4640,21,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ok\n,unknown,
2026-03-05T20:56:57.185253995Z,0,verify-only,schubfach-rs,verify,long-string,WL-verify-long-string,valid,0,true,true,true,0,2469347,632000,2010000,4640,16403,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,none,
2026-03-05T20:56:57.18673236Z,0,verify-only,json-canon,verify,long-string,WL-verify-long-string,valid,0,true,true,true,0,1472834,517000,1035000,4640,16403,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ok\n,unknown,
2026-03-05T20:56:57.188055325Z,0,verify-only,schubfach,verify,control-escapes,WL-verify-control-escapes,valid,0,true,true,true,0,1313755,0,1346000,4640,59,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,ok\n,unknown,
