goos: linux
goarch: amd64
pkg: github.com/lattice-substrate/jcs-bench-lab/internal/apibench
cpu: 12th Gen Intel(R) Core(TM) i7-12700K
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     463	   2561177 ns/op	  38.62 MB/s	 4939291 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     470	   2546764 ns/op	  38.83 MB/s	 4939273 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     472	   2582020 ns/op	  38.30 MB/s	 4939280 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     468	   2568878 ns/op	  38.50 MB/s	 4939271 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     482	   2555482 ns/op	  38.70 MB/s	 4939276 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     457	   2604390 ns/op	  37.97 MB/s	 4939274 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     475	   2601858 ns/op	  38.01 MB/s	 4939272 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     470	   2586128 ns/op	  38.24 MB/s	 4939266 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     472	   2663694 ns/op	  37.13 MB/s	 4939273 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     447	   2632082 ns/op	  37.58 MB/s	 4939268 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4015	    303395 ns/op	  39.27 MB/s	  604879 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4140	    302868 ns/op	  39.34 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3774	    305379 ns/op	  39.01 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3924	    298049 ns/op	  39.97 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3891	    303556 ns/op	  39.25 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3727	    301725 ns/op	  39.49 MB/s	  604879 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3862	    301632 ns/op	  39.50 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4083	    304358 ns/op	  39.14 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4077	    303394 ns/op	  39.27 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4125	    301623 ns/op	  39.50 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3434632	       350.5 ns/op	  19.97 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3450109	       349.2 ns/op	  20.05 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3361551	       345.3 ns/op	  20.27 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3445870	       345.3 ns/op	  20.27 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3515684	       344.5 ns/op	  20.32 MB/s	     504 B/op	       8 allocs/op
