impl,mode,workload,class,n,successes,p50_ms,p95_ms,p99_ms,avg_ms,avg_cpu_user_ms,avg_cpu_system_ms,avg_max_rss_kb,avg_throughput_mb_s
json-canon,canonicalize,bad-literal,invalid,3,0,7.369067,7.779009,7.815448,7.088815,1.991000,5.561667,7040.000000,0.000000
schubfach,canonicalize,bad-literal,invalid,3,0,5.789999,6.126686,6.156614,5.840135,0.780667,5.390000,7040.000000,0.000000
json-canon,verify,bad-literal,invalid,3,0,6.075782,7.683360,7.826256,6.610543,1.285667,5.810667,7040.000000,0.000000
schubfach,verify,bad-literal,invalid,3,0,5.861761,5.883695,5.885645,5.860375,0.597333,5.696333,7040.000000,0.000000
json-canon,canonicalize,bad-number,invalid,3,0,6.250280,6.730200,6.772860,6.410275,1.957667,4.786333,7360.000000,0.000000
schubfach,canonicalize,bad-number,invalid,3,0,5.885282,6.944038,7.038150,6.240405,0.658333,5.991000,7040.000000,0.000000
json-canon,verify,bad-number,invalid,3,0,6.161645,7.339562,7.444266,6.584205,0.694000,6.317333,7360.000000,0.000000
schubfach,verify,bad-number,invalid,3,0,5.332433,7.153785,7.315683,5.999971,1.061333,5.295000,7360.000000,0.000000
json-canon,canonicalize,deep,valid,3,3,6.505667,7.355420,7.430954,6.793366,1.340000,5.907333,7360.000000,0.163295
schubfach,canonicalize,deep,valid,3,3,6.289290,7.487278,7.593766,6.546446,0.653667,6.266667,7360.000000,0.171086
json-canon,verify,deep,valid,3,3,6.697233,8.150184,8.279335,7.224386,1.947000,5.840333,7360.000000,0.154493
schubfach,verify,deep,valid,3,3,6.124564,7.600137,7.731299,6.611510,2.689000,4.402333,7360.000000,0.169430
json-canon,canonicalize,large,valid,3,3,73.518251,77.902762,78.292496,64.670928,84.983333,11.759000,12640.000000,7.383810
schubfach,canonicalize,large,valid,3,3,31.933023,43.540823,44.572628,35.109872,46.337000,14.102000,12106.666667,13.059786
json-canon,verify,large,valid,3,3,66.699596,67.740714,67.833258,63.560635,90.211667,16.104000,13173.333333,6.992385
schubfach,verify,large,valid,3,3,71.961998,73.490925,73.626830,69.215570,91.757333,37.974333,12853.333333,6.411204
json-canon,canonicalize,medium,valid,3,3,7.100740,7.301839,7.319714,7.112277,3.096000,4.522000,8360.000000,1.843408
schubfach,canonicalize,medium,valid,3,3,6.254788,8.565371,8.770757,6.308687,2.279000,4.437000,8360.000000,2.328163
json-canon,verify,medium,valid,3,3,11.275433,11.390412,11.400632,11.007804,4.272667,7.626333,8360.000000,1.189425
schubfach,verify,medium,valid,3,3,6.767941,8.291414,8.426834,7.139183,1.985333,5.656333,8360.000000,1.862341
json-canon,canonicalize,mixed-prod,valid,3,3,5.802162,6.643827,6.718641,5.582218,2.234333,3.730000,8360.000000,1.003587
schubfach,canonicalize,mixed-prod,valid,3,3,4.985843,7.897035,8.155808,5.876907,1.952000,4.281333,8360.000000,0.985201
json-canon,verify,mixed-prod,valid,3,3,5.106969,5.156402,5.160795,4.430678,2.143667,2.503667,8360.000000,1.288256
schubfach,verify,mixed-prod,valid,3,3,4.550937,5.914163,6.035339,4.373686,1.482000,3.070000,8360.000000,1.401939
json-canon,canonicalize,negative-zero,invalid,3,0,6.523055,8.081338,8.219852,6.935819,1.557667,5.772667,7360.000000,0.000000
schubfach,canonicalize,negative-zero,invalid,3,0,5.578334,5.773507,5.790856,5.642209,1.359000,4.610000,7360.000000,0.000000
json-canon,verify,negative-zero,invalid,3,0,6.421464,6.582080,6.596357,6.367460,1.184000,5.495333,7360.000000,0.000000
schubfach,verify,negative-zero,invalid,3,0,5.880498,6.129457,6.151587,5.938908,0.652000,5.557667,7360.000000,0.000000
json-canon,canonicalize,number-heavy,valid,3,3,4.255144,4.364919,4.374677,3.961684,1.142333,3.030667,8360.000000,0.034309
schubfach,canonicalize,number-heavy,valid,3,3,3.817910,4.228584,4.265088,3.807163,1.851000,2.199667,8360.000000,0.035437
json-canon,verify,number-heavy,valid,3,3,6.342723,6.436816,6.445180,6.230043,2.004667,4.712333,8360.000000,0.020849
schubfach,verify,number-heavy,valid,3,3,4.073035,4.251381,4.267234,3.762057,1.745333,2.178333,8360.000000,0.035432
json-canon,canonicalize,single-quote,invalid,3,0,7.607653,7.974226,8.006810,7.502256,1.598000,6.324333,7360.000000,0.000000
schubfach,canonicalize,single-quote,invalid,3,0,5.748871,7.409687,7.557315,6.307802,1.441333,5.281333,7360.000000,0.000000
json-canon,verify,single-quote,invalid,3,0,6.461765,6.914302,6.954528,6.628620,1.463667,5.576667,7360.000000,0.000000
schubfach,verify,single-quote,invalid,3,0,6.534352,6.632360,6.641072,6.383811,1.545667,5.224333,7360.000000,0.000000
json-canon,canonicalize,small,valid,3,3,6.404542,6.595667,6.612656,6.451209,1.026333,5.755667,8360.000000,0.006655
schubfach,canonicalize,small,valid,3,3,5.736385,6.099310,6.131570,5.780615,1.198333,4.877333,8360.000000,0.007441
json-canon,verify,small,valid,3,3,4.065291,4.786646,4.850767,3.842903,0.425667,3.579333,8360.000000,0.011169
schubfach,verify,small,valid,3,3,5.369202,5.649103,5.673983,5.218946,1.991667,3.457333,8360.000000,0.007735
