impl,mode,workload,class,n,successes,p50_ms,p95_ms,p99_ms,avg_ms,avg_cpu_user_ms,avg_cpu_system_ms,avg_max_rss_kb,avg_throughput_mb_s
json-canon,canonicalize,bad-literal,invalid,3,0,1.739202,1.848295,1.857993,1.767575,1.237667,0.591000,6880.000000,0.000000
schubfach,canonicalize,bad-literal,invalid,3,0,1.624402,1.692267,1.698299,1.551351,0.000000,1.618667,6880.000000,0.000000
json-canon,verify,bad-literal,invalid,3,0,1.861182,2.229279,2.261999,1.826652,0.640667,1.264333,6880.000000,0.000000
schubfach,verify,bad-literal,invalid,3,0,1.389340,1.675779,1.701240,1.394078,0.196667,1.231333,6880.000000,0.000000
json-canon,canonicalize,bad-number,invalid,3,0,2.059981,2.545892,2.589084,2.202660,0.459000,1.881000,6880.000000,0.000000
schubfach,canonicalize,bad-number,invalid,3,0,1.753245,2.019020,2.042645,1.713390,0.305667,1.464333,6880.000000,0.000000
json-canon,verify,bad-number,invalid,3,0,3.297736,5.042390,5.197471,3.673420,0.746333,3.190333,6880.000000,0.000000
schubfach,verify,bad-number,invalid,3,0,3.165916,3.354815,3.371606,3.125943,0.000000,3.239333,6880.000000,0.000000
json-canon,canonicalize,deep,valid,3,3,7.298326,7.949777,8.007683,7.303105,1.893000,5.817000,7040.000000,0.152196
schubfach,canonicalize,deep,valid,3,3,5.484370,8.240245,8.485211,6.474643,0.610333,6.192333,7040.000000,0.178451
json-canon,verify,deep,valid,3,3,7.063610,7.616031,7.665135,7.217302,2.808333,4.909333,7360.000000,0.153329
schubfach,verify,deep,valid,3,3,6.672502,7.445186,7.513869,6.859467,1.663333,5.683000,7360.000000,0.161795
json-canon,canonicalize,large,valid,3,3,25.603191,30.314856,30.733670,26.929983,28.851667,14.011333,12692.000000,16.585516
schubfach,canonicalize,large,valid,3,3,33.055605,58.988006,61.293108,40.022750,56.660000,15.241333,12106.666667,12.700071
json-canon,verify,large,valid,3,0,42.111220,43.589129,43.720499,39.426651,55.395667,15.699667,13280.000000,0.000000
schubfach,verify,large,valid,3,0,51.947976,59.047465,59.678531,46.718264,64.650000,19.461333,12640.000000,0.000000
json-canon,canonicalize,medium,valid,3,3,9.731644,10.100046,10.132793,8.379733,2.770333,6.083667,8600.000000,1.708887
schubfach,canonicalize,medium,valid,3,3,3.736988,5.038347,5.154024,4.218766,1.844667,2.651667,8600.000000,3.180546
json-canon,verify,medium,valid,3,0,9.813209,9.822888,9.823749,9.642367,4.548667,5.889333,8600.000000,0.000000
schubfach,verify,medium,valid,3,0,6.184493,6.552890,6.585636,5.756361,2.020000,4.058333,8600.000000,0.000000
json-canon,canonicalize,mixed-prod,valid,3,3,7.490455,7.845975,7.877577,7.484438,2.181667,5.900333,8600.000000,0.721716
schubfach,canonicalize,mixed-prod,valid,3,3,8.104032,8.360371,8.383157,7.833101,2.001000,6.437667,8600.000000,0.692449
json-canon,verify,mixed-prod,valid,3,0,7.013164,8.301804,8.416350,7.281155,2.860000,4.909333,8600.000000,0.000000
schubfach,verify,mixed-prod,valid,3,0,7.298557,7.424934,7.436168,6.957600,3.548000,4.032000,8600.000000,0.000000
json-canon,canonicalize,negative-zero,invalid,3,0,6.818660,7.471587,7.529625,6.787337,0.819000,6.458000,6880.000000,0.000000
schubfach,canonicalize,negative-zero,invalid,3,0,5.967737,6.142426,6.157954,6.010704,0.209333,6.109333,6880.000000,0.000000
json-canon,verify,negative-zero,invalid,3,0,6.366975,7.423263,7.517155,6.614829,2.148333,4.884000,6880.000000,0.000000
schubfach,verify,negative-zero,invalid,3,0,5.493941,6.774117,6.887911,5.953853,1.763000,4.587333,6880.000000,0.000000
json-canon,canonicalize,number-heavy,valid,3,3,6.622194,7.899738,8.013297,6.987209,1.486333,5.929667,8600.000000,0.019322
schubfach,canonicalize,number-heavy,valid,3,3,5.896889,6.157657,6.180836,5.970236,2.485333,3.862000,8600.000000,0.022378
json-canon,verify,number-heavy,valid,3,0,7.023106,7.950517,8.032954,7.215277,2.013000,5.624333,8600.000000,0.000000
schubfach,verify,number-heavy,valid,3,0,5.874798,6.858502,6.945942,6.174943,0.747333,5.733667,8600.000000,0.000000
json-canon,canonicalize,single-quote,invalid,3,0,6.325630,6.589107,6.612527,6.298605,1.459667,5.263667,6880.000000,0.000000
schubfach,canonicalize,single-quote,invalid,3,0,5.401490,5.494069,5.502298,5.420906,1.040333,4.760000,6880.000000,0.000000
json-canon,verify,single-quote,invalid,3,0,6.509699,7.680341,7.784398,6.787163,1.835333,5.384333,6880.000000,0.000000
schubfach,verify,single-quote,invalid,3,0,6.517879,6.742463,6.762426,6.365067,1.697667,5.006000,6880.000000,0.000000
json-canon,canonicalize,small,valid,3,3,6.583781,7.333094,7.399700,6.648287,1.349000,5.715000,8600.000000,0.006508
schubfach,canonicalize,small,valid,3,3,5.774458,7.181621,7.306702,6.213184,1.873667,4.691000,8600.000000,0.007015
json-canon,verify,small,valid,3,0,4.532510,5.680667,5.782725,4.458367,1.043667,3.695667,8600.000000,0.000000
schubfach,verify,small,valid,3,0,7.216928,10.377811,10.658778,7.943075,1.696667,6.363333,8600.000000,0.000000
json-canon,canonicalize,trailing-comma,invalid,3,0,6.809844,7.213893,7.249808,6.914080,0.914667,6.360000,6880.000000,0.000000
schubfach,canonicalize,trailing-comma,invalid,3,0,6.104283,6.300829,6.318300,6.004587,1.535333,4.777333,6880.000000,0.000000
json-canon,verify,trailing-comma,invalid,3,0,6.077925,7.725472,7.871921,6.552039,1.251000,5.798667,7040.000000,0.000000
schubfach,verify,trailing-comma,invalid,3,0,6.463132,7.668061,7.775166,6.759128,1.071000,6.156000,6880.000000,0.000000
json-canon,canonicalize,truncated,invalid,3,0,5.972862,6.224821,6.247217,6.007649,1.085333,5.309000,7040.000000,0.000000
schubfach,canonicalize,truncated,invalid,3,0,6.737697,7.210760,7.252810,6.584656,1.367667,5.666333,7040.000000,0.000000
json-canon,verify,truncated,invalid,3,0,7.761746,7.946442,7.962860,7.233373,1.396667,6.259667,7040.000000,0.000000
schubfach,verify,truncated,invalid,3,0,6.003509,6.021125,6.022691,5.906198,0.642667,5.612000,7040.000000,0.000000
json-canon,canonicalize,unicode,valid,3,3,3.156895,3.786405,3.842362,3.195801,1.317667,1.979333,8600.000000,0.030049
schubfach,canonicalize,unicode,valid,3,3,5.697913,6.523970,6.597397,5.512774,2.545000,3.317000,8600.000000,0.017551
json-canon,verify,unicode,valid,3,0,1.717854,1.919104,1.936993,1.706678,0.000000,1.734333,8600.000000,0.000000
schubfach,verify,unicode,valid,3,0,1.376778,1.511556,1.523536,1.373544,0.648333,0.773667,8600.000000,0.000000
