timestamp,impl,mode,workload,class,run,ok,exit_code,duration_ns,cpu_user_ns,cpu_system_ns,max_rss_kb,input_bytes,output_bytes,output_sha256,stderr_excerpt,error_class_hint
2026-03-05T05:35:19.391106624Z,schubfach,canonicalize,bad-literal,invalid,0,false,2,5162942,2120000,3180000,7520,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 5: invalid literal\n,unknown
2026-03-05T05:35:19.396796571Z,schubfach,canonicalize,bad-literal,invalid,1,false,2,5664488,0,5982000,7520,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 5: invalid literal\n,unknown
2026-03-05T05:35:19.402935869Z,schubfach,canonicalize,bad-literal,invalid,2,false,2,6117239,1057000,5287000,7520,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 5: invalid literal\n,unknown
2026-03-05T05:35:19.415057718Z,json-canon,canonicalize,bad-literal,invalid,0,false,2,5990829,2343000,3906000,7520,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 5: invalid literal\n,unknown
2026-03-05T05:35:19.421647645Z,json-canon,canonicalize,bad-literal,invalid,1,false,2,6568175,2626000,4376000,7520,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 5: invalid literal\n,unknown
2026-03-05T05:35:19.427965973Z,json-canon,canonicalize,bad-literal,invalid,2,false,2,6297581,833000,5837000,7520,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 5: invalid literal\n,unknown
2026-03-05T05:35:19.439772168Z,schubfach,verify,bad-literal,invalid,0,false,2,5625157,0,5848000,7680,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 5: invalid literal\n,unknown
2026-03-05T05:35:19.445344977Z,schubfach,verify,bad-literal,invalid,1,false,2,5552481,2368000,3552000,7680,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 5: invalid literal\n,unknown
2026-03-05T05:35:19.452134055Z,schubfach,verify,bad-literal,invalid,2,false,2,6770280,1187000,5936000,7680,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 5: invalid literal\n,unknown
2026-03-05T05:35:19.464331523Z,json-canon,verify,bad-literal,invalid,0,false,2,6168961,0,6514000,7680,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 5: invalid literal\n,unknown
2026-03-05T05:35:19.471605593Z,json-canon,verify,bad-literal,invalid,1,false,2,7240903,1080000,6480000,7680,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 5: invalid literal\n,unknown
2026-03-05T05:35:19.479862048Z,json-canon,verify,bad-literal,invalid,2,false,2,8235304,978000,7826000,7680,9,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 5: invalid literal\n,unknown
2026-03-05T05:35:19.492354796Z,schubfach,canonicalize,bad-number,invalid,0,false,2,7138662,2374000,4748000,7680,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,unknown
2026-03-05T05:35:19.498423219Z,schubfach,canonicalize,bad-number,invalid,1,false,2,6040866,1060000,5304000,7840,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,unknown
2026-03-05T05:35:19.504286003Z,schubfach,canonicalize,bad-number,invalid,2,false,2,5817930,1216000,4865000,7840,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,unknown
2026-03-05T05:35:19.514148196Z,json-canon,canonicalize,bad-number,invalid,0,false,2,3989065,833000,3332000,7840,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,unknown
2026-03-05T05:35:19.517251008Z,json-canon,canonicalize,bad-number,invalid,1,false,2,3087643,820000,2462000,7840,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,unknown
2026-03-05T05:35:19.521132078Z,json-canon,canonicalize,bad-number,invalid,2,false,2,3866637,1043000,3129000,7840,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,unknown
2026-03-05T05:35:19.530909906Z,schubfach,verify,bad-number,invalid,0,false,2,4863135,0,4898000,7840,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,unknown
2026-03-05T05:35:19.534864213Z,schubfach,verify,bad-number,invalid,1,false,2,3944509,1080000,3242000,7840,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,unknown
2026-03-05T05:35:19.541159249Z,schubfach,verify,bad-number,invalid,2,false,2,6288064,2261000,4522000,7840,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,unknown
2026-03-05T05:35:19.553564334Z,json-canon,verify,bad-number,invalid,0,false,2,6269080,0,6510000,7840,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,unknown
2026-03-05T05:35:19.561535176Z,json-canon,verify,bad-number,invalid,1,false,2,7946376,2098000,6296000,7840,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,unknown
2026-03-05T05:35:19.570125022Z,json-canon,verify,bad-number,invalid,2,false,2,8568639,2316000,6950000,7840,8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: INVALID_GRAMMAR at byte 6: leading zero in number\n,unknown
2026-03-05T05:35:19.581170222Z,schubfach,canonicalize,negative-zero,invalid,0,false,2,5344450,2267000,3401000,7840,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,unknown
2026-03-05T05:35:19.587126127Z,schubfach,canonicalize,negative-zero,invalid,1,false,2,5935627,1044000,5224000,7840,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,unknown
2026-03-05T05:35:19.592946265Z,schubfach,canonicalize,negative-zero,invalid,2,false,2,5796803,2012000,4024000,7840,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,unknown
2026-03-05T05:35:19.606009416Z,json-canon,canonicalize,negative-zero,invalid,0,false,2,6659508,2012000,5030000,7840,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,unknown
2026-03-05T05:35:19.613240158Z,json-canon,canonicalize,negative-zero,invalid,1,false,2,7209491,935000,6548000,7840,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,unknown
2026-03-05T05:35:19.619290235Z,json-canon,canonicalize,negative-zero,invalid,2,false,2,6029244,0,6412000,7840,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,unknown
2026-03-05T05:35:19.63059246Z,schubfach,verify,negative-zero,invalid,0,false,2,5620668,850000,5102000,7840,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,unknown
2026-03-05T05:35:19.636284241Z,schubfach,verify,negative-zero,invalid,1,false,2,5667160,1185000,4741000,7840,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,unknown
2026-03-05T05:35:19.642612996Z,schubfach,verify,negative-zero,invalid,2,false,2,6306846,808000,5659000,7840,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,unknown
2026-03-05T05:35:19.655991722Z,json-canon,verify,negative-zero,invalid,0,false,2,6587060,3555000,3555000,7840,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,unknown
2026-03-05T05:35:19.66234423Z,json-canon,verify,negative-zero,invalid,1,false,2,6330256,2269000,4539000,7840,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,unknown
2026-03-05T05:35:19.668547789Z,json-canon,verify,negative-zero,invalid,2,false,2,6184888,2223000,4446000,7840,10,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,error: jcserr: NUMBER_NEGZERO at byte 5: negative zero token is not allowed\n,unknown
2026-03-05T05:35:19.68117304Z,schubfach,canonicalize,single-quote,invalid,0,false,2,6701720,1166000,5832000,7840,7,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"error: jcserr: INVALID_GRAMMAR at byte 2: expected ""\"""", got ""'""\n",unknown
2026-03-05T05:35:19.686672238Z,schubfach,canonicalize,single-quote,invalid,1,false,2,5477952,946000,4733000,7840,7,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"error: jcserr: INVALID_GRAMMAR at byte 2: expected ""\"""", got ""'""\n",unknown
2026-03-05T05:35:19.693778792Z,schubfach,canonicalize,single-quote,invalid,2,false,2,7089797,0,7389000,7840,7,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"error: jcserr: INVALID_GRAMMAR at byte 2: expected ""\"""", got ""'""\n",unknown
2026-03-05T05:35:19.708292483Z,json-canon,canonicalize,single-quote,invalid,0,false,2,6457523,3488000,3488000,7840,7,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"error: jcserr: INVALID_GRAMMAR at byte 2: expected ""\"""", got ""'""\n",unknown
