goos: linux
goarch: amd64
pkg: github.com/lattice-substrate/jcs-bench-lab/internal/apibench
cpu: 12th Gen Intel(R) Core(TM) i7-12700K
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     456	   2524944 ns/op	  39.17 MB/s	 4939286 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     466	   2561847 ns/op	  38.61 MB/s	 4939281 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     475	   2524543 ns/op	  39.18 MB/s	 4939273 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     471	   2537422 ns/op	  38.98 MB/s	 4939283 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     469	   2574974 ns/op	  38.41 MB/s	 4939280 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4243	    308488 ns/op	  38.62 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3776	    304148 ns/op	  39.17 MB/s	  604881 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3987	    304941 ns/op	  39.07 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3784	    304850 ns/op	  39.08 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4189	    304535 ns/op	  39.12 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3452564	       349.4 ns/op	  20.04 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3487956	       354.7 ns/op	  19.73 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3449002	       348.4 ns/op	  20.09 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3499084	       351.2 ns/op	  19.93 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/canonical-minimal-20  	 3439057	       350.5 ns/op	  19.97 MB/s	     504 B/op	       8 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  923056	      1347 ns/op	  43.79 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  922386	      1349 ns/op	  43.74 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  872215	      1346 ns/op	  43.82 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  885434	      1329 ns/op	  44.41 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/control-escapes-20    	  916479	      1331 ns/op	  44.31 MB/s	    2064 B/op	      21 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   31467	     36871 ns/op	  31.41 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   32488	     36599 ns/op	  31.64 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   32589	     36307 ns/op	  31.89 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   32271	     36389 ns/op	  31.82 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-20               	   32508	     36450 ns/op	  31.77 MB/s	   58960 B/op	     843 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   74180	     16290 ns/op	  31.31 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   73922	     16417 ns/op	  31.06 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   74510	     16202 ns/op	  31.48 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   71934	     16212 ns/op	  31.46 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/deep-64-20            	   72525	     16350 ns/op	  31.19 MB/s	   26904 B/op	     387 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1708154	       705.5 ns/op	  25.51 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1691922	       706.9 ns/op	  25.46 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1681354	       704.4 ns/op	  25.55 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1699411	       701.5 ns/op	  25.66 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/escaped-key-order-20  	 1709293	       705.4 ns/op	  25.52 MB/s	    1168 B/op	      14 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      93	  11850554 ns/op	  39.12 MB/s	20914311 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      96	  12068581 ns/op	  38.41 MB/s	20914302 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      92	  12004403 ns/op	  38.61 MB/s	20914308 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      97	  12021721 ns/op	  38.56 MB/s	20914326 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/large-20              	      99	  11820562 ns/op	  39.21 MB/s	20914312 B/op	  204776 allocs/op
BenchmarkAPICanonicalizeSchubfach/long-string-20        	   16228	     76091 ns/op	 215.57 MB/s	   35948 B/op	      14 allocs/op
