impl,mode,workload,class,n,successes,p50_ms,p95_ms,p99_ms,avg_ms,avg_cpu_user_ms,avg_cpu_system_ms,avg_max_rss_kb,avg_throughput_mb_s
json-canon,canonicalize,bad-literal,invalid,3,0,6.297581,6.541116,6.562763,6.285528,1.934000,4.706333,7520.000000,0.000000
schubfach,canonicalize,bad-literal,invalid,3,0,5.664488,6.071964,6.108184,5.648223,1.059000,4.816333,7520.000000,0.000000
json-canon,verify,bad-literal,invalid,3,0,7.240903,8.135864,8.215416,7.215056,0.686000,6.940000,7680.000000,0.000000
schubfach,verify,bad-literal,invalid,3,0,5.625157,6.655768,6.747378,5.982639,1.185000,5.112000,7680.000000,0.000000
json-canon,canonicalize,bad-number,invalid,3,0,3.866637,3.976822,3.986616,3.647782,0.898667,2.974333,7840.000000,0.000000
schubfach,canonicalize,bad-number,invalid,3,0,6.040866,7.028882,7.116706,6.332486,1.550000,4.972333,7786.666667,0.000000
json-canon,verify,bad-number,invalid,3,0,7.946376,8.506413,8.556194,7.594698,1.471333,6.585333,7840.000000,0.000000
schubfach,verify,bad-number,invalid,3,0,4.863135,6.145571,6.259565,5.031903,1.113667,4.220667,7840.000000,0.000000
json-canon,canonicalize,deep,valid,3,3,7.194345,7.532133,7.562159,6.489442,1.248667,5.636000,7840.000000,0.178050
schubfach,canonicalize,deep,valid,3,3,5.796052,5.815257,5.816964,5.655691,0.897333,5.209667,7840.000000,0.195551
json-canon,verify,deep,valid,3,3,4.337119,5.790061,5.919211,4.570149,1.771000,3.044000,7840.000000,0.254309
schubfach,verify,deep,valid,3,3,5.211369,5.479657,5.503505,5.196290,1.712000,3.838667,7840.000000,0.213073
json-canon,canonicalize,large,valid,3,3,41.195683,51.708960,52.643474,41.253282,55.070667,9.382000,12742.666667,11.327265
schubfach,canonicalize,large,valid,3,3,18.242688,19.192993,19.277464,18.398392,27.300667,4.883333,11893.333333,24.059805
json-canon,verify,large,valid,3,3,67.900473,73.120872,73.584907,61.500347,90.793333,18.143333,13333.333333,7.589363
schubfach,verify,large,valid,3,3,54.313264,77.204539,79.239319,62.478648,89.207333,26.930000,13066.666667,7.307102
json-canon,canonicalize,medium,valid,3,3,11.781177,11.958158,11.973889,11.363327,5.491000,6.809667,9300.000000,1.158195
schubfach,canonicalize,medium,valid,3,3,5.098756,8.744790,9.068882,6.271145,2.613667,4.103667,9300.000000,2.290865
json-canon,verify,medium,valid,3,3,5.263008,7.807709,8.033904,5.946618,2.413667,3.921667,9300.000000,2.337047
schubfach,verify,medium,valid,3,3,4.873722,7.793251,8.052765,5.620641,1.283333,4.519667,9300.000000,2.555840
json-canon,canonicalize,mixed-prod,valid,3,3,9.987846,10.083510,10.092013,9.177634,1.999333,7.893667,9300.000000,0.599135
schubfach,canonicalize,mixed-prod,valid,3,3,8.136828,8.264079,8.275390,7.433775,1.907000,5.966667,9300.000000,0.743226
json-canon,verify,mixed-prod,valid,3,3,7.744504,9.399452,9.546558,8.205122,3.961000,4.710000,9300.000000,0.662967
schubfach,verify,mixed-prod,valid,3,3,6.874710,7.124527,7.146733,6.901972,2.824333,4.546000,9300.000000,0.777981
json-canon,canonicalize,negative-zero,invalid,3,0,6.659508,7.154493,7.198491,6.632748,0.982333,5.996667,7840.000000,0.000000
schubfach,canonicalize,negative-zero,invalid,3,0,5.796803,5.921745,5.932851,5.692293,1.774333,4.216333,7840.000000,0.000000
json-canon,verify,negative-zero,invalid,3,0,6.330256,6.561380,6.581924,6.367401,2.682333,4.180000,7840.000000,0.000000
schubfach,verify,negative-zero,invalid,3,0,5.667160,6.242877,6.294052,5.864891,0.947667,5.167333,7840.000000,0.000000
json-canon,canonicalize,number-heavy,valid,3,3,6.375756,7.183077,7.254839,6.564147,1.813000,5.095667,9300.000000,0.020463
schubfach,canonicalize,number-heavy,valid,3,3,6.254032,7.046277,7.116699,6.517741,1.828000,4.914333,9300.000000,0.020573
json-canon,verify,number-heavy,valid,3,3,6.229391,6.608826,6.642554,6.343397,1.277333,5.461333,9300.000000,0.020470
schubfach,verify,number-heavy,valid,3,3,6.784275,6.988787,7.006966,6.282699,1.398667,5.198333,9300.000000,0.021096
json-canon,canonicalize,single-quote,invalid,3,0,6.776683,7.183154,7.219284,6.820841,2.670333,4.538333,7840.000000,0.000000
schubfach,canonicalize,single-quote,invalid,3,0,6.701720,7.050989,7.082035,6.423156,0.704000,5.984667,7840.000000,0.000000
json-canon,verify,single-quote,invalid,3,0,6.516147,6.539198,6.541247,6.411371,1.335667,5.466667,7840.000000,0.000000
schubfach,verify,single-quote,invalid,3,0,5.820495,6.766179,6.850240,5.996817,1.219667,5.105667,7840.000000,0.000000
json-canon,canonicalize,small,valid,3,3,5.806859,6.240290,6.278817,5.039897,0.767667,4.466667,9300.000000,0.009468
