goos: linux
goarch: amd64
pkg: github.com/lattice-substrate/jcs-bench-lab/internal/apibench
cpu: 12th Gen Intel(R) Core(TM) i7-12700K
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     463	   2534069 ns/op	  39.03 MB/s	 4939283 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     466	   2527870 ns/op	  39.12 MB/s	 4939278 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     470	   2583526 ns/op	  38.28 MB/s	 4939278 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     480	   2553274 ns/op	  38.73 MB/s	 4939279 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     471	   2593042 ns/op	  38.14 MB/s	 4939277 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     475	   2512353 ns/op	  39.37 MB/s	 4939274 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     465	   2561048 ns/op	  38.62 MB/s	 4939271 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     478	   2543173 ns/op	  38.89 MB/s	 4939279 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     488	   2538052 ns/op	  38.97 MB/s	 4939276 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-2048-20         	     470	   2522364 ns/op	  39.21 MB/s	 4939273 B/op	   49134 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4238	    301481 ns/op	  39.52 MB/s	  604881 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3950	    299642 ns/op	  39.76 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4012	    299297 ns/op	  39.81 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    3931	    309516 ns/op	  38.49 MB/s	  604879 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4036	    302996 ns/op	  39.32 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4357	    303015 ns/op	  39.32 MB/s	  604880 B/op	    6131 allocs/op
BenchmarkAPICanonicalizeSchubfach/array-256-20          	    4250	    307107 ns/op	  38.79 MB/s	  604881 B/op	    6131 allocs/op
